Team,Player,First Name,Last Name,Age,Pos,F,D,G,C,RW,LW,RD,LD,CH 20-21,CH 21-22,CH 22-23,CH 23-24,CH 24-25,CH 25-26,CH 26-27,CH Total,CH Avg,Cap%,NMC,Expiry,UFA Expiry,RFA Expiry,27/54,Game Req,Must Protect,Under Contract 21/22,UFA,Meets Exposure,Overall,OPS,DPS,PS,GP,GAOPS,GADPS,GAPS,CH 21-22_scaled,CH Total_scaled,CH Avg_scaled,OPS_scaled,DPS_scaled,PS_scaled,GAOPS_scaled,GADPS_scaled,GAPS_scaled,Overall_scaled,CH 20-21_standard,CH 21-22_standard,CH 22-23_standard,CH 23-24_standard,CH 24-25_standard,CH 25-26_standard,CH 26-27_standard,CH Avg_standard,Overall_standard,PS_standard,GAPS_standard
ANA,Nick Sorensen,Nick,Sorensen,26,RW,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,RFA,0.0,0.0,27 GR,0,No,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANA,John Gibson,John,Gibson,28,G,0,0,1,0,0,0,0,0,6.4,6.4,6.4,6.4,6.4,6.4,6.4,38.4,6.4,7.9,False,UFA (2027),2027.0,0.0,0,0,No,1,0,1,86.0,0.0,0.0,5.6,35.0,0.0,0.0,9.0,6.4,26.199270978347425,6.4,0.0,0.0,9.744773286340456,0.0,0.0,11.806875628273389,3.857462429809457,11.625628126913693,11.04005047857142,10.547886331764351,10.087461760527928,9.755791200165417,9.683238576128995,9.522004528795028,11.04005047857142,11.298719227643675,11.589481368462314,12.1460763738767
ANA,Anthony Stolarz,Anthony,Stolarz,27,G,0,0,1,0,0,0,0,0,0.75,0.95,0.95,0.0,0.0,0.0,0.0,1.9,0.95,1.2,False,UFA (2023),2023.0,0.0,0,0,No,1,0,1,76.0,0.0,0.0,1.8,8.0,0.0,0.0,1.8,0.95,1.2963180952828153,0.95,0.0,0.0,3.132248556323719,0.0,0.0,2.371916978894208,3.408920286808357,9.280300141545412,9.026267900799073,8.5074188171233,0.0,0.0,0.0,0.0,9.026267900799073,9.15446767934366,9.823861547413346,9.622264620900864
ARI,Oliver Ekman-Larsson,Oliver,Ekman-Larsson,29,LD,0,1,0,0,0,0,0,1,8.25,8.25,8.25,8.25,8.25,8.25,8.25,49.5,8.25,10.1,True,UFA (2027),2027.0,0.0,1,1,Yes,1,0,1,83.0,1.6,1.1,2.8,46.0,1.9,1.3,3.4,8.25,33.77249774552598,8.25,6.528241105386268,4.637325367176537,4.872386643170229,6.9600892837896895,4.573834247624446,4.491746162930093,3.722899786909127,12.393567378759943,11.723628050842768,11.240522093614983,10.887663305752227,10.620223087803796,10.527608889780396,10.520036106384513,11.723628050842768,10.65544376315367,10.288498342426232,10.183111677117717
ARI,Alex Goligoski,Alex,Goligoski,35,LD/RD,0,1,0,0,0,0,1,1,5.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,UFA (2021),2021.0,0.0,1,1,No,0,1,0,78.0,1.0,3.4,4.5,56.0,1.0,3.4,4.5,0.0,0.0,0.0,4.080150690866418,14.333551134909294,7.830621390809298,3.5732601233741703,11.612786953384145,5.929792447235519,3.4986287154085773,11.241658500990567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.583317989003664,11.07838089394814,10.568694028266803
ARI,Niklas Hjalmarsson,Niklas,Hjalmarsson,34,LD/RD,0,1,0,0,0,0,1,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,UFA (2021),2021.0,0.0,1,1,No,0,1,0,82.0,-0.3,1.3,1.0,41.0,-0.4,1.8,1.4,0.0,0.0,0.0,-1.2240452072599253,5.480475433935907,1.7401380868465104,-1.4641651237240505,6.06464053232687,1.7998286018709435,3.678045572609017,11.044484909300314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.441018608323668,9.452152111403036,9.482052856846652
ARI,Jakob Chychrun,Jakob,Chychrun,23,LD,0,1,0,0,0,0,0,1,4.6,4.6,4.6,4.6,4.6,0.0,0.0,18.4,4.6,5.6,False,UFA (2025),2025.0,0.0,1,1,No,1,0,1,85.0,4.5,2.9,7.4,56.0,4.5,2.9,7.4,4.6,12.553817343791474,4.6,18.36067810889888,12.225675968010869,12.877021842664178,16.079670555183768,9.905024166121768,9.751214246565077,3.8126082155093473,10.878443989982205,10.37494797582092,9.873970455369141,9.308887284093474,8.914722336517263,0.0,0.0,10.37494797582092,11.084294072813673,12.42582759948551,11.585229317659847
ARI,Jason Demers,Jason,Demers,33,RD,0,1,0,0,0,0,1,0,3.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,UFA (2021),2021.0,0.0,1,1,No,0,1,0,78.0,-0.4,1.5,1.0,41.0,-0.5,2.0,1.4,0.0,0.0,0.0,-1.632060276346567,6.323625500695277,1.7401380868465104,-1.9522201649654003,6.99766215268485,1.7998286018709435,3.477098692544524,10.603646268510737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.583317989003664,9.452152111403036,9.482052856846652
ARI,Jordan Oesterle,Jordan,Oesterle,29,LD/RD,0,1,0,0,0,0,1,1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,UFA (2021),2021.0,0.0,1,1,No,0,1,0,81.0,0.3,1.2,1.5,43.0,0.4,1.6,2.0,0.0,0.0,0.0,1.2240452072599253,5.0589004005562215,2.6102071302697656,1.3960644202950243,5.33775159553635,2.574173465466582,3.614352588302861,9.550116635437337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.226593453493669,9.68447050890948,9.692370502927972
ARI,Ilya Lyubushkin,Ilya,Lyubushkin,27,RD,0,1,0,0,0,0,1,0,1.0,1.35,0.0,0.0,0.0,0.0,0.0,1.35,1.35,1.7,False,UFA (2022),2022.0,0.0,1,1,No,1,0,1,79.0,-0.5,0.7,0.2,42.0,-0.7,0.9,0.3,1.35,0.9210681203325268,1.35,-2.040075345433209,2.951025233657796,0.3480276173693021,-2.38217341558278,3.187823869556431,0.351395107984327,3.522849991130637,9.384075716119229,9.174068456965852,0.0,0.0,0.0,0.0,0.0,9.174068456965852,9.797743143833666,9.080442675392726,9.096470505697566
ARI,Kyle Capobianco,Kyle,Capobianco,23,LD,0,1,0,0,0,0,0,1,0.775,0.775,0.0,0.0,0.0,0.0,0.0,0.775,0.775,1.0,False,RFA (2022),0.0,2022.0,25 GR,0,No,1,0,0,0.0,0.0,-0.1,-0.1,2.0,0.0,-0.1,-0.1,0.775,0.5287613283390431,0.775,0.0,-0.4215750333796851,-0.174013808684651,0.0,-0.3415525574524748,-0.1317731654941226,0.0,9.290677699002794,8.961605157476109,0.0,0.0,0.0,0.0,0.0,8.961605157476109,0.0,8.941051636888862,8.956258741643353
